FactID,Year,StateCode,DistrictCode,LevelOfEducation,TotalEnrollment,FemaleEnrollment,GrossEnrollmentRatio,DropoutRate,TeacherCount,TeacherTrainedCount,AvgTrainingHours,SchoolsTotal,SchoolsWithInternet,SmartClassroomsCount,DigitalReadySchools,StudentsWithDevices,StudentsWithDisabilities,GirlToBoyRatio,VocationalEnrollment,SkillCertifiedLearners,SkillPlacementRate,BudgetAllocated,BudgetUtilized,PolicyImplementationScore,AccessIndex,QualityIndex,InfrastructureIndex,EquityIndex,GovernanceIndex,OverallNEPIndex,Source,LastUpdated,MathScore,ReadingScore,ScienceScore,AverageScore,PassPercentage,StudentPerformanceIndex,StudentsScoring75Plus,SchoolsWithLibrary,SchoolsWithLab,SchoolsWith5334Structure,SchoolsWithRegionalCurriculum,TeachersGraduate,TeachersPostGraduate,TeachersWithBEd,Date,PolicyId
F_S01_Secondary_2023,2023,S27,D0018,Secondary,77492,317661,96.31568533,3.703344477,41227,11296,87.88096376,3155,4884,1609,1520,122246,201,1.114205073,11414,90531,47.26118641,9937042,4617211.09,58.62835371,63.18312267,50.32635215,98.03028228,85.79814578,66.5953046,67.10115071,Education Survey Data,01-11-2025,63.5,69.43,84.81,72.58,79.84,70.77,299,332,309,338,306,6131,2949,5981,06-05-2020,P006
F_S01_Secondary_2024,2024,S27,D0038,Secondary,261462,167545,98.79904015,3.703614345,13261,8103,42.45649587,6490,2995,1928,4865,418540,5885,1.150557486,17792,23531,74.46643907,4703111,6060944.722,76.58544271,99.78721785,53.93072307,51.09733006,61.48484666,62.92894658,79.77850319,Education Survey Data,01-11-2025,59.9,70.55,51.53,60.66,66.73,56.95,192,204,197,109,173,4084,1949,2694,04-07-2021,P014
F_S01_Secondary_2025,2025,S15,D0046,Secondary,921537,497914,72.12068884,9.52400446,2033,16612,47.46577764,9977,8862,1596,6495,59327,8281,0.873883278,1457,3896,90.21582205,2149344,8870522.772,98.49334311,87.30314612,80.09487497,51.95795795,72.63731308,69.41257558,80.36325965,Education Survey Data,01-11-2025,70.51,56.01,67.66,64.73,71.2,61.12,320,90,87,62,70,1843,994,1229,17-10-2022,P005
F_S01_Higher_2020,2020,S27,D0018,Higher,718954,598306,73.65735516,4.693184235,49555,27902,43.03057644,2580,8749,4554,877,173437,1846,0.800930916,135,39886,49.72521624,1470448,3426205.339,76.58789778,65.35700017,57.27925963,88.59109183,53.2544177,74.05793493,79.16542813,Education Survey Data,01-11-2025,60.74,76.41,84.21,73.79,81.17,74.97,225,110,98,84,98,1830,1141,1346,10-08-2024,P006
F_S01_Higher_2021,2021,S01,D0049,Higher,357986,436372,68.78712406,8.689853422,46350,13550,27.61135518,3379,5974,3819,2096,10044,2187,1.095052642,17868,5352,63.68159585,6806239,1449733.211,78.68341278,54.08332356,84.65176856,87.17997896,56.97316301,78.91707739,97.96910194,Education Survey Data,01-11-2025,56.7,72.43,66.06,65.06,71.57,67.86,153,115,99,97,129,2374,908,1995,03-10-2023,P013
F_S01_Higher_2022,2022,S20,D0041,Higher,461232,272546,77.32753869,4.290223261,41037,2454,62.70361297,8400,447,5046,1363,245863,5446,1.087748042,17461,14344,54.55004288,8617877,4326900.942,96.60995111,84.64944579,95.67302377,80.09280795,50.63099672,61.51339728,91.83075808,Education Survey Data,01-11-2025,79.73,76.99,64.29,73.67,81.04,70.59,371,64,56,52,55,1141,582,1242,31-01-2022,P003
F_S01_Higher_2023,2023,S08,D0045,Higher,822205,447865,60.59512704,3.891709571,25645,34460,65.08104679,9907,8045,2289,4879,85046,6380,0.964697103,17313,19184,60.07457484,1527106,1623453.373,98.47747276,77.13875968,58.61615539,97.9786818,88.0195054,71.20658946,54.78922425,Education Survey Data,01-11-2025,66.19,49.73,62.78,59.57,65.53,58.75,291,45,41,45,40,968,409,797,18-11-2025,P002
F_S01_Higher_2024,2024,S22,D0016,Higher,201188,279467,77.95626313,2.912155913,20590,27702,71.77225133,3514,2746,4928,1531,145868,7875,0.85580649,10406,16483,87.48282344,4718409,1362001.52,61.99599203,90.89569853,80.11793431,62.47188788,72.64421876,74.06506127,79.22838732,Education Survey Data,01-11-2025,68.54,84.62,64.38,72.51,79.76,67.55,132,292,302,147,229,4549,1920,4760,22-10-2021,P006
F_S01_Higher_2025,2025,S25,D0021,Higher,912907,121110,93.22158478,4.464899736,41677,7063,19.49031186,9941,4147,60,3431,80386,1505,1.062553621,18092,94295,57.27799077,8423713,8422488.715,56.06118936,85.82991513,54.10509914,57.16398774,70.63654464,83.27283198,81.59286593,Education Survey Data,01-11-2025,56.6,69.02,78.36,67.99,74.79,69.71,82,319,229,262,262,4669,2734,4506,14-03-2025,P011
F_S01_Vocational_2020,2020,S17,D0010,Vocational,767982,31014,74.18642043,4.658922548,44604,24297,87.40082969,346,5922,2984,6351,414190,4544,1.184266031,7365,59893,43.68265925,2983419,3536570.745,54.41007505,60.00881867,65.32897262,63.35062769,85.90531969,77.05956862,65.37326546,Education Survey Data,01-11-2025,63.64,77.76,46.09,62.5,68.75,63.25,93,179,190,137,136,3429,1949,2551,01-10-2024,P020
F_S01_Vocational_2021,2021,S26,D0042,Vocational,701925,412653,96.39635762,9.767668684,22769,39419,43.05503855,4188,1326,5470,4509,161245,9580,0.990369802,1720,16976,51.7055293,9384419,1748387.797,88.46655561,71.45325191,91.29720872,64.46674072,52.22028027,66.07899156,50.6025616,Education Survey Data,01-11-2025,68.89,62.72,79.8,70.47,77.52,74.25,166,224,262,143,262,4532,2147,3581,19-09-2021,P001
F_S01_Vocational_2022,2022,S10,D0004,Vocational,308598,209548,76.33302301,1.908130374,14743,32051,45.6743347,5594,2864,6343,3403,422051,8595,1.120406652,10523,30096,55.88163645,6633148,7698532.619,68.39706393,88.50727262,84.90175312,77.90205996,85.93521249,90.11296231,95.85448352,Education Survey Data,01-11-2025,58.79,74.29,53.18,62.09,68.3,58.25,333,45,52,46,38,983,499,583,26-11-2020,P017
F_S01_Vocational_2023,2023,S16,D0044,Vocational,401443,497793,67.04863725,3.098422373,31552,17256,70.50137451,4764,951,344,4366,469325,1438,1.115356165,12399,57182,93.65049744,4962364,2133139.459,52.101352,67.04660697,80.43458876,54.51889345,94.44776452,78.50858976,71.60102453,Education Survey Data,01-11-2025,71.01,62.63,63.6,65.75,72.32,63.04,233,156,146,111,132,2350,1294,1549,24-07-2024,P008
F_S01_Vocational_2024,2024,S28,D0008,Vocational,884660,105036,75.85769369,9.023860406,47180,15887,47.28097347,6194,3165,6929,4550,203892,1981,1.129092449,3835,60857,45.65144797,1750571,1916063.2,82.64811885,59.81602206,64.60361235,91.89021128,54.30581948,53.20208352,70.75769281,Education Survey Data,01-11-2025,63.19,65.63,62.14,63.65,70.02,62.98,174,331,272,187,283,5480,2714,5127,10-06-2022,P018
F_S01_Vocational_2025,2025,S02,D0047,Vocational,690320,323831,90.55038853,1.648640354,3948,1028,56.85829044,9325,1056,1528,5133,142129,7152,1.166055654,14539,25124,77.9403451,5108693,8129078.614,81.20137354,55.47417524,58.4535646,92.10886044,72.89170179,77.10275862,92.21928042,Education Survey Data,01-11-2025,65.67,83.4,71.3,73.46,80.81,73.05,368,86,70,43,77,1526,626,1204,07-05-2024,P005
F_S02_Pre-Primary_2020,2020,S36,D0019,Pre-Primary,983437,375747,81.60204142,2.282037413,49994,11827,50.97051343,7791,2091,471,5364,360692,1612,1.151382289,3060,98972,53.14196741,6998005,8024743.857,85.1049483,59.38036515,71.45536418,76.91780568,76.80970705,60.72176987,69.87798819,Education Survey Data,01-11-2025,63.19,68.67,51.62,61.16,67.28,59.4,189,63,65,40,50,1267,707,1066,21-04-2022,P020
F_S02_Pre-Primary_2021,2021,S02,D0047,Pre-Primary,828958,164866,99.13851302,2.769041948,39007,21556,75.36898308,7923,6664,6304,4412,473667,2010,0.889232692,4400,50197,87.39242899,8590016,8338905.592,59.86861572,76.43866756,74.6836684,81.14427211,71.64397591,74.07813017,80.00171767,Education Survey Data,01-11-2025,82.82,71.52,70.16,74.83,82.31,69.73,186,373,287,272,335,5854,3585,5080,18-08-2022,P012
F_S02_Pre-Primary_2022,2022,S27,D0040,Pre-Primary,306478,110063,69.64218274,5.999986252,48303,16999,56.94542114,9080,8445,4823,6138,222442,9797,1.117174192,8317,70963,55.75043646,3388900,631732.5433,95.84049631,69.34116075,52.35865814,97.88051617,57.65467869,51.98739999,90.26737985,Education Survey Data,01-11-2025,67.89,76.09,84.22,76.07,83.68,76.11,398,320,315,181,221,5812,3029,4041,14-05-2021,P017
F_S02_Pre-Primary_2023,2023,S27,D0040,Pre-Primary,508860,36225,79.20806839,5.699909163,31933,5308,55.09228528,7168,3837,813,60,173993,8180,0.808902933,11817,77867,40.60053101,5800037,612865.1128,65.98531033,72.11244598,93.42627308,72.58721128,68.66302883,63.28392693,63.44684292,Education Survey Data,01-11-2025,59.54,73.47,53.73,62.25,68.48,63.19,301,132,139,86,96,2714,967,2047,08-10-2020,P004
F_S02_Pre-Primary_2024,2024,S32,D0009,Pre-Primary,180692,467152,66.81314866,3.38818068,45921,12607,40.77527253,1998,7445,1501,532,54660,2356,0.806153446,14419,90753,77.7986051,1260597,8405720.593,98.30059952,70.53271118,88.42269681,94.50361902,81.66040018,88.58081082,55.08238853,Education Survey Data,01-11-2025,74.58,71.05,67.71,71.11,78.22,66.25,342,161,191,91,159,3478,1371,2562,31-03-2022,P017
F_S02_Pre-Primary_2025,2025,S27,D0030,Pre-Primary,393373,303891,96.70107677,7.89330167,22422,20660,97.6536919,955,7016,5789,6071,417170,2120,1.103136615,5547,30664,47.7816254,5826548,1345648.116,50.09226645,87.73910137,86.2457314,76.09277699,50.93633931,83.54179109,87.79199531,Education Survey Data,01-11-2025,58.23,72.55,60.04,63.61,69.97,66.32,213,66,52,57,65,1352,474,932,27-04-2022,P012
F_S02_Primary_2020,2020,S20,D0017,Primary,680864,184514,93.62359367,5.669075266,14752,7517,78.55106988,7441,7262,6643,2829,102329,9360,0.942269951,6731,13125,71.44909618,4441436,3706520.592,64.35857902,87.1150915,75.37554038,89.39352187,69.68498484,85.66644081,76.66490273,Education Survey Data,01-11-2025,69.67,86.82,69.83,75.44,82.98,76.41,345,280,269,223,160,4176,2295,4136,25-08-2024,P017
F_S02_Primary_2021,2021,S27,D0040,Primary,572416,109276,94.75621869,6.774413601,8447,23203,32.64663995,4570,7144,2550,3101,478964,7570,0.969605417,10987,61195,63.75378114,2806710,2173762.659,72.10697272,64.52497286,91.60247187,95.44511342,86.30219301,86.97916661,57.21082841,Education Survey Data,01-11-2025,52.32,69.6,66.17,62.7,68.97,61.83,118,389,292,305,224,6450,3452,4860,22-10-2022,P017
F_S02_Primary_2022,2022,S16,D0044,Primary,892936,125465,61.05562675,4.689999034,4325,14347,15.76714939,4322,7108,62,3720,370360,1035,0.814966385,4198,69051,67.68717132,3124240,4290445.849,52.90096576,92.05096703,83.50774211,91.10113435,54.4853665,71.1787836,55.63210907,Education Survey Data,01-11-2025,57.37,71.41,60.23,63,69.3,61.94,228,45,40,24,44,757,313,662,29-10-2022,P013
F_S02_Primary_2023,2023,S13,D0015,Primary,981760,213691,83.74992807,3.813262389,19959,28487,88.66505343,3669,7552,54,3364,353814,9735,0.801148762,5659,48690,89.43371548,8457628,6770119.125,71.99423851,62.54689315,88.06298279,50.6233714,60.03914593,68.68127387,63.75513813,Education Survey Data,01-11-2025,69.57,77.35,70.39,72.44,79.68,71.86,393,235,195,203,219,4015,2247,3694,25-04-2025,P020
F_S02_Primary_2024,2024,S10,D0004,Primary,263174,508051,84.15898537,8.44278755,45080,17927,85.0354078,2127,3026,4932,5297,65573,9097,0.913212928,4559,40865,76.44045567,6826152,4542851.904,86.80105556,62.11507556,72.96530966,98.94651566,72.7283047,88.1327351,61.70737757,Education Survey Data,01-11-2025,73.91,77.74,82.24,77.96,85.76,72.58,185,43,49,40,35,858,443,820,14-02-2025,P018
F_S02_Primary_2025,2025,S21,D0006,Primary,791065,174593,74.77412336,6.889827424,19485,35896,20.33675355,9129,7386,1368,80,269859,2612,1.059883396,2295,97080,92.9906303,7142337,650517.3152,64.14421967,51.91763624,83.81132823,99.46652203,76.560321,67.37852136,75.1344951,Education Survey Data,01-11-2025,69.37,78.31,64.28,70.65,77.72,68.68,324,365,312,327,321,6972,3397,5951,18-05-2020,P013
F_S02_Secondary_2020,2020,S22,D0016,Secondary,451534,489073,65.08558942,7.441351716,43341,10987,31.20709923,6037,5536,6796,1477,211794,5212,0.866893964,18114,91613,71.37552765,9711041,5863549.848,63.42478679,87.34574773,86.71100369,62.23807609,67.63978807,57.16470783,51.1531319,Education Survey Data,01-11-2025,67.07,74.47,72.48,71.34,78.47,62.75,232,325,332,217,254,5724,3345,3932,01-08-2024,P017
F_S02_Secondary_2021,2021,S05,D0026,Secondary,641769,573098,63.40159156,1.093520523,37722,10631,61.70599165,8208,1285,894,110,425586,2363,1.181491271,10471,46994,65.37392415,1066015,5706629.051,61.20727856,72.79691638,65.92110373,99.1295534,52.39777544,65.31989989,50.63263019,Education Survey Data,01-11-2025,65.59,62,54.36,60.65,66.72,62.21,77,124,144,95,125,2660,946,1525,14-09-2024,P010
F_S02_Secondary_2022,2022,S18,D0037,Secondary,152419,395860,96.57589934,5.370433764,48445,35547,15.80296092,1322,6822,5513,2321,217979,7497,0.834514528,680,71183,57.3533843,4465089,5701847.396,68.72503541,97.68557536,94.71311806,75.64293754,53.24340504,65.686899,63.34388537,Education Survey Data,01-11-2025,56.17,81.43,57.39,65,71.5,58.82,289,214,200,166,196,3636,2014,2425,02-03-2025,P012
F_S02_Secondary_2023,2023,S14,D0023,Secondary,436559,527962,66.23398759,5.117145676,47251,25225,22.78604951,7579,5035,3987,5084,33966,1744,1.113137252,18320,50380,46.19715031,7129211,8714307.728,51.62483345,80.36664934,51.08269212,65.1282856,83.15646436,51.65279018,99.180199,Education Survey Data,01-11-2025,62.24,61.98,70.25,64.82,71.3,67.85,119,331,275,193,235,7021,2593,4653,08-08-2021,P008
F_S02_Secondary_2024,2024,S09,D0013,Secondary,976309,177408,72.88236181,7.127649634,13301,38521,90.81208289,9668,2025,567,4201,176840,3761,1.192284949,8181,9190,80.40164132,8978118,4625570.193,72.53700762,65.49364497,53.19920841,84.88534153,66.62038096,59.78017803,57.23375434,Education Survey Data,01-11-2025,64.31,72.12,79.36,71.93,79.12,68.75,278,319,351,250,333,6383,2800,5717,09-02-2024,P002
F_S02_Secondary_2025,2025,S02,D0047,Secondary,772428,198717,73.01535595,7.648182982,23939,37244,23.80160724,4762,1678,2313,1871,282734,6301,0.878111308,15909,13587,51.32269302,4676889,5342000.463,78.52219389,90.67688765,77.51688384,94.82737721,59.68152752,58.12601825,71.2059754,Education Survey Data,01-11-2025,76.46,64.72,69.2,70.13,77.14,67.48,103,141,137,121,115,2351,1396,2063,18-04-2025,P008
F_S02_Higher_2020,2020,S20,D0017,Higher,276444,289597,86.89031705,7.924400861,2250,28027,82.57645249,5301,4123,3089,2419,77990,4482,1.132909231,3054,73396,69.92081863,4052888,4877646.626,62.34593852,50.24483473,82.04467815,99.92539661,56.54723932,76.1194573,96.38025775,Education Survey Data,01-11-2025,70.75,69.55,63.18,67.83,74.61,64.16,357,181,133,154,153,2849,1827,1992,19-01-2021,P018
F_S02_Higher_2021,2021,S15,D0027,Higher,638349,560015,66.53119561,5.557402059,12052,26448,61.24351491,4356,8739,5510,1146,410019,8400,0.957989167,4220,76610,77.66627633,5596743,2930939.248,67.87124326,60.35297662,81.76392826,52.65629029,66.79778393,93.67728526,91.27602459,Education Survey Data,01-11-2025,53.9,72.3,65.99,64.06,70.47,61.79,152,101,73,90,88,1616,837,1128,01-02-2021,P019
F_S02_Higher_2022,2022,S14,D0022,Higher,662124,303324,70.10222194,7.951272648,21521,23729,38.41838397,2722,7569,5662,5785,422916,6596,0.932716192,2330,83185,71.26494833,5968053,7763029.227,59.52712811,89.37510407,57.81753819,54.31814712,90.81188045,53.12669401,98.79183635,Education Survey Data,01-11-2025,70.59,72.25,54.75,65.86,72.45,68.53,138,181,156,169,216,3155,1877,2450,08-01-2025,P018
F_S02_Higher_2023,2023,S18,D0037,Higher,921729,239628,66.38028748,2.453263748,4333,12508,13.58757478,1293,5972,3574,3177,290519,2013,0.949189364,6261,4820,56.19865739,5544764,1322963.501,57.96581017,65.12951688,54.3387997,85.25513551,86.03852572,58.82709234,76.66561629,Education Survey Data,01-11-2025,64.92,72.95,71.44,69.77,76.75,60.33,116,72,48,38,41,1158,635,992,15-10-2025,P008
F_S02_Higher_2024,2024,S36,D0019,Higher,243196,69035,71.39750048,7.059677846,35088,15543,58.12280488,3467,1326,6547,3037,361704,3438,1.150180841,16517,45757,64.64058283,9599929,5413728.323,58.38820768,64.05524024,94.96818366,69.01530435,75.41958075,58.40733312,55.2114294,Education Survey Data,01-11-2025,62.58,81.3,73.94,72.61,79.87,74.18,382,103,94,50,63,1787,1041,1608,04-03-2023,P001
F_S02_Higher_2025,2025,S14,D0039,Higher,583560,570995,65.34866936,9.790590238,7060,695,57.67076662,7531,6574,280,3882,168813,8605,0.975613879,17167,23326,86.95417342,3893857,8476592.953,82.38755309,74.84949072,99.71720834,69.19504863,81.36889873,73.58696403,80.22395778,Education Survey Data,01-11-2025,72.89,73.17,61.93,69.33,76.26,68.41,293,233,255,169,163,4144,1669,3901,25-04-2020,P006
F_S02_Vocational_2020,2020,S07,D0035,Vocational,979102,400920,99.77178644,4.07875246,4415,13734,43.86006746,2766,4027,228,5797,375577,2023,1.081310923,14613,92798,93.0358605,9155147,2919152.535,81.24418721,61.41319294,85.60565993,62.56184175,89.51292193,69.74714244,55.40059693,Education Survey Data,01-11-2025,76.25,68.29,61.77,68.77,75.65,63.27,300,355,275,227,336,6056,3126,5293,07-10-2022,P013
F_S02_Vocational_2021,2021,S09,D0013,Vocational,441038,242298,89.245116,9.892987051,21326,33861,34.8647611,408,7268,5008,4357,318216,3959,0.90578884,17356,83310,75.46357954,9244932,6831652.297,54.10241917,60.91654843,99.2837005,71.34332938,60.66088765,81.4594335,70.16278808,Education Survey Data,01-11-2025,75.45,76.75,68.39,73.53,80.88,67.95,242,101,87,57,90,1826,820,1160,17-12-2024,P015
F_S02_Vocational_2022,2022,S29,D0014,Vocational,640832,582648,67.50270103,5.911220705,5512,8867,48.733939,6304,2199,2059,3068,21068,5000,0.847618038,14644,14488,90.6254334,1274100,5806933.552,92.29705109,73.31721677,81.6475824,52.9909538,58.67693442,92.19044674,84.27787836,Education Survey Data,01-11-2025,61.29,78.33,62.07,67.23,73.95,70.54,214,86,105,53,88,1568,835,1270,23-03-2024,P015
F_S02_Vocational_2023,2023,S15,D0048,Vocational,726781,258783,78.83327375,7.579073996,14115,27273,21.10135971,6874,2103,2035,3850,295802,5341,0.901815872,13005,99044,41.41046924,3345064,7272180.993,55.07153992,70.00971218,97.17159363,50.14965955,66.68795395,79.80247883,77.67537406,Education Survey Data,01-11-2025,65.53,61.41,65.4,64.11,70.52,59.86,101,307,234,219,179,4819,2396,3563,03-08-2022,P013
F_S02_Vocational_2024,2024,S07,D0031,Vocational,746714,132091,63.67424186,9.688122986,38662,27807,12.91350486,5819,374,1629,358,157929,9585,0.80423495,5114,77963,55.95110529,8262510,5909087.791,97.07975473,63.91681502,56.81625914,77.11366617,65.01225756,77.29798558,51.05961006,Education Survey Data,01-11-2025,70.65,74.18,84.9,76.58,84.24,70.46,272,359,425,350,422,7006,3587,5424,14-12-2020,P002
F_S02_Vocational_2025,2025,S08,D0045,Vocational,308880,573947,94.13793238,4.653191844,3846,6949,11.65730395,1627,1105,2781,5120,251666,6064,0.940436442,18906,65871,81.78266554,7582011,1960815.694,70.40438385,55.92996488,78.42903469,51.34339054,53.28903507,64.281124,69.22765502,Education Survey Data,01-11-2025,75.8,74.91,63.78,71.5,78.65,72.76,156,328,355,370,383,6462,4093,6481,29-11-2023,P017
F_S03_Pre-Primary_2020,2020,S20,D0002,Pre-Primary,304473,121763,78.94835785,3.282306371,47772,24011,95.44090914,1165,2949,3829,4209,426779,3967,1.1332546,4118,64021,83.76387244,5990631,4615866.48,64.7363141,58.67437283,53.76845204,59.52834934,70.74484739,88.03563348,66.27039627,Education Survey Data,01-11-2025,64.17,67.92,62.77,64.95,71.45,64.47,350,55,53,48,52,1067,508,835,07-02-2023,P009
